Temp-Jan,Temp-Feb,Temp-Mar,Rainfall-Jan,Rainfall-Feb,Rainfall-Mar,Sunshine-Jan,Sunshine-Feb,Sunshine-Mar,Population,Area,Density,Case-Jan,Case-Feb,Case-Mar,Death-Jan,Death-Feb,Death-Mar,Country
46.6,49.3,58.2,35.4,58.4,95.1,4.3,3.9,3.7,1439323776,9596961,148,9714,79355,81649,213,2837,3276,China
53.4,55.5,59.5,83,75.2,68,4.4,4.6,4.8,60461826,301339,201,3,888,59138,0,21,5476,Italy
50.2,53.2,58.9,44.8,44.4,35.9,4.8,5.3,5.6,46754778,505992,92,0,34,28572,0,0,1720,Spain
39.7,42.5,48.9,61.5,50.8,59.4,1.6,2.6,2.8,83783942,357114,235,5,57,24774,0,0,94,Germany
41.5,46,56.1,37.1,34.5,39.9,5.9,6.3,5.9,83992949,1648195,51,0,388,21638,0,34,1685,Iran
34.9,36.3,41.6,63.9,59.1,78.8,3.8,4.2,4.1,8654622,41284,210,0,12,6971,0,0,60,Switzerland
39.1,42.9,53.7,17.7,28.7,43,7.3,6.9,6.8,51269185,100210,512,7,2931,8961,0,16,113,South Korea
40.5,43.3,49,66.2,52.4,70.1,1.8,2.9,3.3,11589623,30528,380,0,1,3401,0,0,75,Belgium
40.2,41.4,46.7,67.4,45.7,59.7,1.7,2.5,2.9,17134872,41850,409,0,2,4204,0,0,179,Netherlands
34.8,39.7,49.3,30.7,32.4,34.6,2,2.7,3.5,9006398,83871,107,0,7,3631,0,0,16,Austria
85.2,86.5,87.4,209.45,173.4833,190.72,5.9,6.8,6.6,5850342,716,8240,13,98,455,0,0,2,Singapore
88.2,89.9,90.2,146.6,137.4,218.2,6.3,7.3,7.1,32365999,330803,98,8,25,1306,0,0,10,Malaysia
42.7,45.1,50.6,53.9,46,52.4,2.1,3.1,3.6,65273511,640679,118,6,57,16018,0,2,674,France
81.4,80.6,75.2,62.1,51.2,61.4,10,9.9,9.2,25499884,7692024,3.2,7,25,1709,0,0,7,Australia
36.5,39.3,49.3,85.8,79.3,101.8,5.8,5.9,6.2,331002651,9833517,35.77,6,66,35206,0,0,471,United States
44.2,44.9,49.7,55,37.5,48.9,1.9,2.3,2.9,67886011,242495,279,2,18,5683,0,0,281,United Kingdom
58.5,60.2,63.8,108.6,109.6,68.2,5.1,5.3,6.1,10196709,92090,111,0,0,1600,0,0,14,Portugal
